"FVH","sexo","edad","horas_tnr","ingreso_mensual","nivel_pobreza","etnia","afrod","discapacidad","zona","entidad","region","escolaridad","est_dis","upm","factor"
"10000190212","Mujer",48,24,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,1,207
"10000190214","Mujer",16,18,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,1,207
"10000190514","Hombre",13,2,0,"Pobreza por Ingresos Extrema","No","No","Si","Urbana","Aguascalientes","Centro","Secundaria",1,1,207
"10000250512","Mujer",34,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,2,196
"10000370112","Mujer",55,62,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,3,213
"10000370212","Mujer",50,35,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,3,213
"10000370512","Hombre",22,30,492,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,3,213
"10000370612","Mujer",49,35,5902,"No Pobreza","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,3,213
"10000420411","Mujer",54,28,0,"Pobreza por Ingresos Extrema","Si","No","No","Urbana","Aguascalientes","Centro","Licenciatura",3,4,220
"10000420412","Hombre",53,11,35604,"No Pobreza","Si","No","No","Urbana","Aguascalientes","Centro","Secundaria",3,4,220
"10000420611","Hombre",49,82,80440,"No Pobreza","No","No","No","Urbana","Aguascalientes","Centro","Tecnicatura",3,4,220
"10000560212","Mujer",44,18,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",3,5,182
"10000560515","Hombre",13,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",3,5,182
"10000560611","Mujer",49,30,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",3,5,182
"10000560612","Hombre",48,8,32787,"No Pobreza","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",3,5,182
"10000560613","Hombre",18,0,0,"Pobreza por Ingresos Extrema","No","No","Si","Urbana","Aguascalientes","Centro","Primaria",3,5,182
"10000560614","Hombre",16,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",3,5,182
"10000560615","Hombre",14,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",3,5,182
"10000640113","Hombre",18,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Tecnicatura",3,6,193
"10000640312","Mujer",39,35,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",3,6,193
"10000640314","Hombre",14,9,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",3,6,193
"10000640315","Hombre",12,9,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",3,6,193
"10000640513","Hombre",22,7,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",3,6,193
"10000720112","Mujer",33,63,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Tecnicatura",1,7,215
"10000720211","Mujer",58,2,17011,"No Pobreza","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",1,7,215
"10000720312","Mujer",49,28,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Tecnicatura",1,7,215
"10000720314","Mujer",19,21,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Tecnicatura",1,7,215
"10000720411","Mujer",53,84,17604,"No Pobreza","No","No","No","Urbana","Aguascalientes","Centro","Tecnicatura",1,7,215
"10000720414","Hombre",24,70,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",1,7,215
"10000720511","Mujer",58,35,9297,"No Pobreza","No","No","No","Urbana","Aguascalientes","Centro","Tecnicatura",1,7,215
