folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,antigua_ne,cocina,cocina_dor,cuart_dorm,num_cuarto,lugar_coc,agua_ent,ab_agua,agua_noe,dotac_agua,excusado,uso_compar,sanit_agua,biodigest,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos,focos_ahor,combus,fogon_chi,eli_basura,tenencia,renta,estim_pago,pago_viv,pago_mesp,tipo_adqui,viv_usada,finan_1,finan_2,finan_3,finan_4,finan_5,finan_6,finan_7,finan_8,num_dueno1,hog_dueno1,num_dueno2,hog_dueno2,escrituras,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,calen_lena,medid_luz,bomba_agua,tanque_gas,aire_acond,calefacc,p_grietas,p_pandeos,p_levanta,p_humedad,p_fractura,p_electric,p_tuberias,tot_resid,tot_hom,tot_muj,tot_hog,ubica_geo,tam_loc,est_socio,est_dis,upm,factor,procaptar
0100001901,7,8,10,3,30,,1,2,1,4,1,2,1,,1,1,2,1,2,2,0,0,1,1,9,9,3,,3,1,1500, , ,1,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,1,01001,1,3,001,0000001,207,0
0100001902,1,8,10,3,30,,1,2,3,4,1,1,1,,1,1,2,1,2,2,0,0,1,1,10,10,3,,3,3, ,4000,3000,1,1,1,1,,,,,,,,01,1,,,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,4,2,2,1,01001,1,3,001,0000001,207,0
0100001904,1,8,10,3, ,1,1,2,2,3,1,1,1,,1,1,2,1,2,2,0,0,1,1,11,11,3,,3,1,1000, , ,1,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,01001,1,3,001,0000001,207,0
0100001905,1,8,10,3,25,,1,2,2,3,1,1,1,,2,1,2,1,2,1,0,0,1,1,6,6,3,,3,4, ,4500, ,,1,2,1,,,,,,,,01,1,,,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,2,2,4,3,1,1,01001,1,3,001,0000001,207,0
0100002501,4,8,10,3,9,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,8,8,3,,3,3, ,2000,2100,1,1,2,,2,,,,,,,01,1,,,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,4,1,3,1,01001,1,2,002,0000002,196,0
0100002502,4,8,10,2, ,1,1,2,2,4,1,1,1,,1,1,2,1,2,1,0,0,1,1,9,9,3,,3,3, ,2500,2000,1,1,1,1,,,,,,,,02,1,,,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,4,3,1,1,01001,1,2,002,0000002,196,0
0100002504,4,8,10,3,7,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,6,6,3,,3,3, ,2000,3300,1,1,2,1,,,,,,,,01,1,,,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,4,2,2,1,01001,1,2,002,0000002,196,0
0100002505,4,8,10,2,6,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,7,6,3,,3,3, ,1100,1700,2,1,1,1,,,,,,,,01,1,,,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,4,1,3,1,01001,1,2,002,0000002,196,0
0100002506,4,8,10,3,1,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,7,7,3,,3,1,2500, , ,1,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,1,2,1,01001,1,2,002,0000002,196,0
0100003701,1,8,10,3,30,,1,2,3,4,1,1,1,,1,1,2,1,2,1,1,0,1,1,8,8,3,,3,4, ,6000, ,,1,1,,,,,,,,8,01,1,,,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,3,1,1,01001,1,2,002,0000003,213,0
0100003702,1,8,10,3,26,,1,2,3,4,1,1,1,,1,1,2,1,2,3,0,0,1,1,20,20,3,,3,4, ,6000, ,,3,,,,,,,,,8,01,1,,,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,1,1,01001,1,2,002,0000003,213,0
0100003703,1,8,10,3,28,,1,2,3,6,1,1,1,,1,1,2,1,2,1,0,0,1,1,10,5,4,,3,4, ,4000, ,,1,1,,,,,,,,8,01,1,,,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,1,1,01001,1,2,002,0000003,213,0
0100003704,1,8,10,3,30,,1,2,1,2,1,1,1,,1,1,2,1,2,1,0,0,1,1,2,2,3,,3,4, ,1800, ,,1,1,,,,,,,,8,01,1,,,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,01001,1,2,002,0000003,213,0
0100003705,1,8,10,3,30,,1,2,1,4,1,1,1,,1,1,2,1,2,1,0,0,1,1,12,3,3,,3,1,2000, , ,1,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,01001,1,2,002,0000003,213,0
0100003706,1,8,10,3,20,,1,2,1,3,1,1,1,,3,1,2,1,2,1,0,0,1,1,4,4,3,,3,4, ,3000, ,,1,1,,,,,,,,8,01,1,,,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,01001,1,2,002,0000003,213,0
0100004201,1,8,10,3,8,,1,2,3,4,1,1,1,,1,1,2,1,2,2,0,0,1,1,13,6,3,,3,3, ,8000,7000,1,1,1,1,2,,,,,,,01,1,02,1,3,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,4,2,2,1,01001,1,4,003,0000004,220,0
0100004202,1,8,10,3,11,,1,2,2,4,1,1,1,,1,1,2,1,2,1,0,0,1,1,9,9,3,,3,3, ,5000,6200,1,1,2,,,,,5,,,,01,1,,,3,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,4,1,3,1,01001,1,4,003,0000004,220,0
0100004203,1,8,10,3,10,,1,2,3,4,1,1,1,,1,1,2,1,2,2,0,0,1,1,13,11,3,,3,3, ,4000,4000,1,2,,1,,,,,,,,01,1,,,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,1,2,1,01001,1,4,003,0000004,220,0
0100004204,1,8,10,3,6,,1,2,4,5,1,1,1,,1,1,2,1,2,2,1,0,1,1,14,14,3,,3,4, ,10000, ,,3,,,,,,,,,8,01,1,,,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,5,3,2,1,01001,1,4,003,0000004,220,0
0100004206,1,8,10,3,1,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,14,10,3,,3,1,7500, , ,1,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,1,1,01001,1,4,003,0000004,220,0
0100005601,1,8,10,3, ,1,1,2,1,4,1,1,1,,1,1,2,1,2,1,0,0,1,1,8,8,3,,3,3, ,5000,2800,1,1,1,1,,,,5,,,,01,1,,,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,01001,1,4,003,0000005,182,0
0100005602,1,8,10,3,15,,1,2,3,4,1,1,1,,1,1,2,1,2,1,1,1,1,1,15,15,3,,3,3, ,5000,2500,1,1,2,1,,,,5,,,,01,1,,,3,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,0,3,1,01001,1,4,003,0000005,182,0
